ISO,Country,region_ar6_5,region_ar6_10,region_ar6_22,region_ar6_dev,scscrop_tech,scscrop_techcum,scscrop_tech_ha,scscrop_techden,scscrop_feas,scscrop_feascum,scscrop_feas_ha,scscrop_feasden,biochar_tech,biochar_techcum,biochar_tech_ha,biochar_techden,biochar_feas,biochar_feascum,biochar_feas_ha,biochar_feasden
DZA,Algeria,Africa and Middle East,Africa,North Africa,developing,2.4417,73.2505,10268998.0028,7.1332,2.1975,65.9255,9242098.2025,7.1332,1.5126,45.3779,3103782.5071,14.6202,1.0920,32.7609,2320563.5883,14.1177
AGO,Angola,Africa and Middle East,Africa,Southern and middle Africa,ldc,1.7820,53.4599,4233977.0101,12.6264,1.6038,48.1139,3810579.3091,12.6264,2.2984,68.9519,4971160.4329,13.8704,1.1869,35.6063,2511911.3415,14.1750
BHR,Bahrain,Africa and Middle East,Middle East,Middle East,developing,0.0001,0.0025,578.6723,4.2775,0.0001,0.0022,520.8050,4.2775,0.0000,0.0000,1.6129,26.9697,0.0000,0.0000,0.0000,
BEN,Benin,Africa and Middle East,Africa,Western Africa,ldc,1.8167,54.4998,2769530.8132,19.6783,1.6350,49.0498,2492577.7319,19.6783,1.7686,53.0592,2043147.7739,25.9694,1.1398,34.1952,1364482.0443,25.0609
BWA,Botswana,Africa and Middle East,Africa,Southern and middle Africa,developing,0.6616,19.8486,2382912.5085,8.3295,0.5955,17.8637,2144621.2576,8.3295,0.0158,0.4735,86132.4607,5.4977,0.0118,0.3533,65329.0151,5.4083
IOT,British Indian Ocean Territory,Africa and Middle East,Africa,Eastern Africa,developing,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,,,,,,,,
BFA,Burkina Faso,Africa and Middle East,Africa,Western Africa,ldc,5.1674,155.0216,16109776.6937,9.6228,4.6506,139.5195,14498799.0244,9.6228,2.1023,63.0686,4953011.0202,12.7334,1.6329,48.9864,3794747.9744,12.9090
BDI,Burundi,Africa and Middle East,Africa,Eastern Africa,ldc,0.4481,13.4439,893978.4749,15.0383,0.4033,12.0996,804580.6274,15.0383,0.7177,21.5318,1169302.9911,18.4142,0.1952,5.8569,238813.4994,24.5250
CPV,Cabo Verde,Africa and Middle East,Africa,Western Africa,developing,0.0051,0.1535,20222.0631,7.5916,0.0046,0.1382,18199.8568,7.5916,0.0063,0.1876,30756.4241,6.0994,0.0046,0.1390,24096.0245,5.7697
CMR,Cameroon,Africa and Middle East,Africa,Southern and middle Africa,developing,2.4661,73.9833,4599419.2786,16.0854,2.2195,66.5850,4139477.3508,16.0854,3.2095,96.2844,4134566.4634,23.2877,2.0141,60.4243,2740375.9460,22.0496
CAF,Central African Republic,Africa and Middle East,Africa,Southern and middle Africa,ldc,0.5362,16.0874,648209.5958,24.8183,0.4826,14.4787,583388.6362,24.8183,0.1371,4.1122,549348.9930,7.4857,0.0710,2.1300,247160.5516,8.6179
TCD,Chad,Africa and Middle East,Africa,Southern and middle Africa,ldc,6.1256,183.7688,18374262.3243,10.0014,5.5131,165.3919,16536836.0919,10.0014,1.1342,34.0269,3723413.7367,9.1386,0.7722,23.1674,2689597.6115,8.6137
COM,Comoros,Africa and Middle East,Africa,Eastern Africa,ldc,0.0098,0.2938,6229.9861,47.1562,0.0088,0.2644,5606.9875,47.1562,0.0544,1.6320,69066.6000,23.6290,0.0392,1.1771,45140.2765,26.0768
COD,"Congo, Dem. Rep.",Africa and Middle East,Africa,Southern and middle Africa,ldc,15.4477,463.4323,10486011.6324,44.1953,13.9030,417.0891,9437410.4692,44.1953,5.7597,172.7918,9517697.3058,18.1548,2.4688,74.0632,3881609.7952,19.0805
COG,"Congo, Rep.",Africa and Middle East,Africa,Southern and middle Africa,developing,2.0340,61.0201,1133898.9153,53.8144,1.8306,54.9181,1020509.0238,53.8144,0.2143,6.4287,248441.8623,25.8760,0.0934,2.8020,92917.6246,30.1552
CIV,Côte d'Ivoire,Africa and Middle East,Africa,Western Africa,developing,11.1694,335.0826,6022860.5676,55.6351,10.0525,301.5743,5420574.5108,55.6351,4.6862,140.5850,6604355.7153,21.2867,3.4148,102.4428,4616810.9664,22.1891
DJI,Djibouti,Africa and Middle East,Africa,Eastern Africa,ldc,0.0008,0.0239,3145.1101,7.5922,0.0007,0.0215,2830.5990,7.5922,0.0017,0.0511,6935.2000,7.3662,0.0000,0.0002,7.6968,31.6234
