"iso","gain","loss","gainratio"
"bra",26060235.703608,2937517.40883446,8.87151702496571
"ind",19899442.3149323,4295017.17322159,4.63314615806443
"chn",18992343.6818371,13556339.0648794,1.40099355666315
"usa",13486940.1972778,11199354.1109266,1.20426053714288
"rus",12670984.5219247,18312498.5973203,0.691930948394933
"arg",8668434.0983839,2997241.80478716,2.89213705899163
"tza",6982593.74178934,962383.013457298,7.25552471744574
"nga",6852906.01016569,2260543.37656307,3.03153041928567
"kaz",5331865.92285299,4071453.97198582,1.30957293378228
"sdn",5317796.42968321,1198324.75179815,4.43769222133112
"aus",4879733.7797842,1771535.80105352,2.75452168501605
"can",3819811.15469503,2600558.73119688,1.46884248714391
"irn",3277699.90577793,1361576.25086546,2.40728339943835
"eth",3179947.86253119,1295037.4519453,2.45548718128153
"tcd",2916025.27195406,304103.830664635,9.58891331812866
"ukr",2867728.57857323,1589332.96302032,1.80435984485181
"uga",2783423.34413958,291715.705348969,9.54156150355317
"mex",2723538.2686367,1597779.37995243,1.70457717930857
"moz",2634483.10015297,480978.810285568,5.47733713796834
"cod",2592459.67000675,335120.503388882,7.73590288803786
"idn",2527503.7038126,731337.595016956,3.45600133376707
"zmb",2507807.08379364,294075.633843899,8.52776223250388
"pak",2505949.39601898,582060.231087208,4.30530942019216
"irq",2313032.89058399,735163.6733675,3.14628289505775
"mli",2238989.51535416,561564.518841743,3.98705658963674
"tha",2101717.11739254,1651314.77608109,1.27275377646675
"ago",2080270.45941162,218443.683430195,9.52314311288559
"zwe",2030807.09714031,572598.819484234,3.54664911633865
"tur",2016720.49933195,1484128.0186491,1.3588588544859
"fra",1989838.96810246,1331243.35331202,1.49472218069815
"ken",1938582.07017612,378561.318270683,5.12091958848785
"bfa",1930596.53442907,329727.698376656,5.85512392175106
"mmr",1865115.65779543,667543.945957661,2.79399681337792
"khm",1810632.60147095,237615.667381763,7.62000511759988
"zaf",1718518.51040363,1169602.38323355,1.46931857786791
"bol",1647155.45085907,307678.447492123,5.35349636701882
"ury",1550663.51001549,168550.222062111,9.20000870389875
"gha",1393773.07347107,344722.284191608,4.04317660153459
"pry",1362698.57842255,71750.3475914001,18.992222674415
"ner",1350000.61136293,413011.889009476,3.26867251836414
"ben",1315566.27252102,466452.128813267,2.8203671743723
"afg",1300696.10515261,224251.263163567,5.80017292568779
"blr",1263717.2624321,738065.129059792,1.71220291093
"dza",1144584.44155836,506351.238075733,2.26045550102352
"esp",1123574.22241592,1304421.53609085,0.861358227634835
"pol",1107259.78937864,771132.415380001,1.43588801001577
"rou",1025689.60040903,715654.651837349,1.43321865899384
"deu",934834.57825613,673290.933413029,1.38845561682717
"civ",920910.364245892,254251.710791588,3.62204195747091
"gbr",917541.573861361,671415.092801094,1.3665787136739
"cmr",911915.156447887,80498.8829045296,11.3282957917491
"vnm",896553.13100338,1011279.74458122,0.886553039163904
"ltu",884924.133656025,107671.392394543,8.21874886147453
"mdg",823584.475180149,107598.01330471,7.65427213649208
"tkm",765486.700698376,163862.836541176,4.67150890864764
"phl",758603.885582924,258565.016324997,2.93389993884329
"mwi",756406.864480495,141475.926660061,5.34654115606533
"uzb",732197.137989521,369403.411872387,1.98210713398192
"mar",699135.341020584,646882.719495296,1.080776035517
"sen",686005.908563137,208067.361847878,3.29703756740421
"syr",655542.556015015,496767.071334362,1.3196175709758
"egy",654249.372855186,122014.724036694,5.36205263766719
"aze",628310.179258347,229256.015197277,2.74064860944948
"ita",593701.567076683,864274.415733814,0.686936413098147
"bgd",550929.068342686,601514.368976116,0.915903421027937
"som",537192.502523422,99271.6211080551,5.41134008417873
"sau",533712.285431385,588935.875954628,0.906231573286771
"lva",531958.790755749,74331.5472288132,7.15656824844815
"tgo",518272.918506622,178567.703209877,2.90238889334583
"col",497440.551698208,141413.571121693,3.5176295157
"bgr",457323.513112545,192432.412136555,2.37654097890753
"chl",454275.34165287,322739.87267971,1.40755878063972
"per",451971.563518047,111754.791576862,4.04431485344583
"lao",432698.833895683,42471.924246788,10.1878792065421
"kgz",332399.152292728,85959.0499353409,3.8669477215344
"mng",319063.363831997,140386.211391926,2.27275428739398
"ven",314408.337221146,218637.106374264,1.43803740561284
"lby",313813.698797226,133814.024802208,2.34514804603686
"prk",309619.70074892,115752.527208328,2.67484182173989
"lka",307266.248003483,77236.8198227882,3.97823536376139
"est",291734.413288593,41822.8472020626,6.97547949997545
"npl",289726.836311817,77925.5850219727,3.71799372735056
"hun",289231.988972187,400871.917535305,0.721507235404471
"tun",269883.364033699,147672.746073723,1.82757733711382
"nam",263839.680250645,40783.7407231331,6.46923689618768
"nzl",256652.971458435,174008.592356682,1.47494424259435
"cub",246834.780432224,743643.999610424,0.331926002981984
"swe",217249.373993635,151434.413185358,1.43461033343668
"jpn",216723.691370964,131525.308043003,1.64777178320772
"ssd",215695.941038609,20538.048075676,10.5022609862359
"caf",210563.498953342,18947.7218561172,11.1128662618278
"dnk",209421.757137775,182899.141901493,1.14501224533118
"rwa",205726.157041073,62752.5456194878,3.27837149887964
"gin",201679.34943676,19702.0026636124,10.2364898066551
"irl",190936.857779026,170200.055000782,1.12183781478889
"prt",190732.3191185,229851.77521944,0.829805725609066
"bwa",188784.98878479,20080.0663433075,9.40161180531709
"tjk",187603.231820107,109236.626759529,1.71740227966845
"yem",187108.896687031,87692.7353281975,2.13368753964351
"srb",183048.769648552,135408.259098053,1.35182869101065
"nld",181943.650725842,214292.650266647,0.849042888309265
"dom",170362.084945202,83652.0388660431,2.0365562782996
"fin",161688.706323147,62059.8702938557,2.60536648815966
"gtm",155471.01451683,93574.400906086,1.66146951528833
"bdi",145681.937582493,24337.2229576111,5.98597209863392
"ecu",144986.07594347,41352.6216974258,3.50609151227031
"mda",142363.889204979,162271.911086559,0.877316895152846
"cog",134159.141842365,19610.3424477577,6.84124421589105
"arm",127659.459715366,61787.6034531593,2.06610149254525
"bel",122290.940932751,68604.4031410217,1.78255236302212
"nic",111941.291649342,30084.2686452866,3.72092447947475
"cze",109222.304647923,298735.04927063,0.365615969450494
"cri",103541.487948895,18990.7577581406,5.45220413358759
"grc",102545.031805992,375929.842103481,0.272777045930195
"pan",93920.9962215424,9426.5065112114,9.96349985117367
"geo",89957.994863987,152336.719469547,0.590520756763243
"hrv",85791.8430151939,92891.702278614,0.923568423343937
"aut",74533.1402540207,113280.157094479,0.657954068618197
"kor",74373.4427633286,224784.214664459,0.330865950148446
"bih",70858.6006402969,33262.5153436661,2.13028389188823
"svk",68975.3410859108,145530.607480049,0.473957624999034
"jor",67022.816239357,48418.6158976555,1.38423651723184
"nor",62347.391351223,42263.6032032967,1.47520293173583
"eri",57521.7429661751,34766.5893783569,1.65451210471579
"hnd",55179.4084448814,33746.4554615021,1.63511716090687
"lso",54646.8453741074,20538.3242697716,2.66072561014809
"isr",52784.3033332825,64512.0577707291,0.81820833433765
"gmb",49171.2290291786,16608.6487965584,2.96057973357639
"blz",44657.005967617,9705.87372350693,4.6010289480133
"guy",43602.9032130241,23594.5468001366,1.84800765966701
"che",41532.6409749985,61733.5227913857,0.672772897074877
"swz",40841.799888134,5819.88457679749,7.01763056452368
"twn",39539.7646574974,52583.1734085083,0.751947098177601
"mys",38635.9387135506,39352.1453995705,0.981800059977728
"hti",38581.3043956757,25000.3079881668,1.5432331639249
"mrt",34594.4450039864,8352.4629368782,4.14182562262483
"gnb",33713.3767261505,8436.08880710602,3.99632785962999
NA,33350.631029129,3656.29689693451,9.12142311448796
NA,29269.8542480469,45160.4458465576,0.648130320668169
"mkd",29149.928984642,65239.0841970444,0.446816955563007
"alb",27916.1139974594,84283.4486265182,0.331217035519784
"isl",25970.1062510014,18584.3343977928,1.39741922928839
"svn",25509.4548401833,16877.5939588547,1.51143906544807
"slv",25250.2735013962,19214.0960788727,1.31415359836577
"tls",23163.8253831863,14357.719016552,1.61333602896689
"lbn",21064.4909434319,21415.5057635307,0.983609314485739
"omn",20796.9663658142,7996.62935304642,2.60071655789465
"fji",18875.7366247177,9729.29373645782,1.9400932005975
"pri",15318.1412653923,13562.1273183823,1.12947924066676
NA,14913.0728225708,10400.0574111938,1.43394139406572
"pse",14878.8463020325,15920.5018844604,0.93457143562511
"sle",14231.7132277489,2448.09104013443,5.8133921469552
"sur",14122.169025898,10501.2093935013,1.34481358258007
"png",12989.5855503082,5933.6994137764,2.18912092516012
"cyp",10336.0930371284,13381.8988199234,0.772393602448984
"jam",8269.80671691895,10743.0688610077,0.769780667322581
"lux",7986.98402786255,7949.53123760223,1.00471132059752
"kwt",6914.92461633682,1570.30947875977,4.40354255633625
"are",6595.15939283371,30702.656170845,0.214807453665732
"btn",5220.28193473816,2300.28654623032,2.26940506316185
"qat",4558.31715631485,736.671227931976,6.18772253276568
"brb",4340.46667814255,1221.86881494522,3.5523180762553
"imn",2690.50993919373,2811.79168510437,0.956866738544985
"gab",2675.95814275742,346.045592308044,7.73296410137575
"mne",1559.33778524399,5562.74409341812,0.280318087450582
"atg",1059.62400960922,73.6079602241516,14.3955083985814
"mlt",976.156962871552,444.380979061127,2.19666684414338
"tto",764.237906932831,794.509941577911,0.961898482245597
"ala",636.778422355652,856.705584287643,0.743287348693002
"ncl",572.793005466461,57.2299947738647,10.0086153725815
"bhs",437.658316612244,645.697851657867,0.677806679220831
"jey",410.16580581665,597.523305892944,0.686443192711445
"lbr",397.129780292511,7.63390779495239,52.021820404367
"lie",305.667550086975,194.926342487335,1.56811822448695
"brn",276.013317108154,0,Inf
"vir",212.783449172974,22.0107035636902,9.66727158708323
"lca",179.483620166779,7.47874402999878,23.9991660961831
"smr",172.789305686951,284.340562343597,0.607684335512258
"bhr",138.501762390137,145.374070167542,0.952726729261384
"kna",132.412737846375,485.244157791138,0.27287858229788
"sgp",115.365870475769,0,Inf
"cym",58.167275428772,14.5418186187744,4.0000000655815
"aia",43.9019823074341,0,Inf
"ggy",30.2392807006836,90.7127590179443,0.333352011647025
"vut",29.4650363922119,7.29234218597412,4.04054494986317
"hkg",21.3689489364624,113.973136425018,0.187491101909973
"vat",11.5231447219849,11.5209231376648,1.00019283040895
"slb",7.56320095062256,0,Inf
"msr",7.37637376785278,14.7518043518066,0.500031968424893
"sxm",7.32346487045288,0,Inf
"vgb",7.29550981521606,0,Inf
"tca",7.1568169593811,14.2989530563354,0.500513354452208
"spm",5.28816699981689,21.1526679992676,0.25
"abw",0,0,NA
"and",0,11.4068937301636,0
"asm",0,0,NA
"ata",0,0,NA
NA,0,0,NA
"atf",0,0,NA
"blm",0,0,NA
"bmu",0,0,NA
"cok",0,0,NA
"com",0,0,NA
"cpv",0,0,NA
"cuw",0,0,NA
"dji",0,0,NA
"dma",0,0,NA
"flk",0,0,NA
"fro",0,0,NA
"fsm",0,0,NA
"gnq",0,0,NA
"grd",0,0,NA
"grl",0,0,NA
"gum",0,0,NA
"hmd",0,0,NA
NA,0,0,NA
"iot",0,0,NA
NA,0,0,NA
"kir",0,0,NA
"mac",0,0,NA
"maf",0,0,NA
"mco",0,0,NA
"mdv",0,0,NA
"mhl",0,0,NA
"mnp",0,0,NA
"mus",0,0,NA
"nfk",0,0,NA
"niu",0,0,NA
